400124,School Year 2016-2017,124,0,0,0.0,0.0,0.9435483870967742,0.016129032258064516,0.0,0.0,0.056451612903225805,0.9758064516129032,0.0,0.0,0.0,0.23387096774193547,0.0,0,0,0,1,0,0,0,0,0,4,0,1,,60616.0,64486.0
400134,School Year 2016-2017,161,0,0,0.006211180124223602,0.0,0.2670807453416149,0.062111801242236024,0.0,0.0,0.6832298136645962,0.9627329192546584,0.006211180124223602,0.0,0.0,0.14906832298136646,0.037267080745341616,0,0,0,0,1,0,0,0,1,4,0,1,,60616.0,64486.0
400064,School Year 2016-2017,388,1,0,0.010309278350515464,0.0,0.8685567010309279,0.020618556701030927,0.0,0.005154639175257732,0.10051546391752578,0.8634020618556701,0.010309278350515464,0.0,0.0,0.19329896907216496,0.005154639175257732,1,0,0,1,0,0,0,1,1,7,1,1,2.6602595372658615,60616.0,64486.0
400105,School Year 2016-2017,322,0,0,0.0,0.0,0.9751552795031055,0.0,0.0,0.0,0.012422360248447204,0.8136645962732919,0.009316770186335404,0.003105590062111801,0.0,0.19254658385093168,0.0,2,0,0,1,0,0,0,1,1,4,1,0,2.867898902044106,60616.0,64486.0
609676,School Year 2016-2017,455,0,1,0.0,0.0,0.9648351648351648,0.01978021978021978,0.0,0.0,0.03296703296703297,0.9648351648351648,0.0,0.002197802197802198,0.0,0.2725274725274725,0.0,2,0,0,0,0,0,0,0,0,4,0,0,3.349904087274605,60616.0,64486.0
400145,School Year 2016-2017,198,0,0,0.0,0.0,0.9242424242424242,0.010101010101010102,0.0,0.0,0.06565656565656566,0.9494949494949495,0.010101010101010102,0.0,0.0,0.16666666666666666,0.0,0,0,0,1,0,0,0,1,1,4,0,1,,60616.0,64486.0
400087,School Year 2016-2017,198,0,1,0.0,0.0,0.9242424242424242,0.0,0.0,0.0,0.045454545454545456,0.9242424242424242,0.010101010101010102,0.0,0.0,0.31313131313131315,0.020202020202020204,1,0,0,0,0,0,0,1,1,4,1,1,3.505557396986398,60616.0,64486.0
609769,School Year 2016-2017,116,1,0,0.02586206896551724,0.0,0.5344827586206896,0.3017241379310345,0.0,0.0,0.4224137931034483,0.9396551724137931,0.008620689655172414,0.0,0.0,1.0,0.008620689655172414,1,0,0,1,0,0,0,1,1,4,0,0,,60616.0,64486.0
609764,School Year 2016-2017,1739,0,1,0.002875215641173088,0.0,0.03335250143760782,0.19033927544565843,0.0063254744105807935,0.0,0.9453709028177113,0.9539965497412306,0.0017251293847038527,0.0034502587694077054,0.0,0.16158711903392756,0.006900517538815411,2,1,0,0,0,1,0,1,0,4,0,0,2.949688335052584,60608.0,53353.0
400104,School Year 2016-2017,742,0,0,0.0,0.0,0.03234501347708895,0.22776280323450135,0.0,0.0,0.9622641509433962,0.9703504043126685,0.0,0.0013477088948787063,0.0,0.1967654986522911,0.004043126684636119,1,1,0,0,1,1,0,0,1,4,1,1,2.8449093838194077,60608.0,53353.0
609748,School Year 2016-2017,199,0,0,0.0,0.0,0.7738693467336684,0.010050251256281407,0.0,0.0,0.18090452261306533,0.8743718592964824,0.0,0.01507537688442211,0.0,0.2914572864321608,0.03015075376884422,0,0,0,0,0,0,0,0,0,4,0,1,4.5880240271531205,60608.0,53353.0
400057,School Year 2016-2017,954,0,1,0.033542976939203356,0.0,0.30922431865828093,0.08385744234800839,0.0020964360587002098,0.0020964360587002098,0.6352201257861635,0.8532494758909853,0.0020964360587002098,0.0031446540880503146,0.0,0.14779874213836477,0.012578616352201259,2,1,0,0,0,1,0,0,1,4,1,1,2.8154087194227095,60608.0,53353.0
400135,School Year 2016-2017,202,0,0,0.0049504950495049506,0.0,0.054455445544554455,0.1782178217821782,0.0,0.0,0.9356435643564357,0.9405940594059405,0.0,0.0049504950495049506,0.0,0.23267326732673269,0.0,1,1,0,0,0,1,0,0,1,4,0,0,,60608.0,53353.0
400164,School Year 2016-2017,81,0,0,0.0,0.0,0.012345679012345678,0.2962962962962963,0.0,0.0,0.9876543209876543,0.9753086419753086,0.0,0.0,0.0,0.19753086419753085,0.0,1,1,0,0,1,1,0,1,0,4,0,1,,60608.0,53353.0
609750,School Year 2016-2017,38,0,0,0.0,0.0,0.7368421052631579,0.05263157894736842,0.0,0.0,0.21052631578947367,0.9736842105263158,0.0,0.0,0.0,0.15789473684210525,0.05263157894736842,1,0,0,0,0,1,0,0,0,7,0,1,4.364371699435161,60608.0,53353.0
400102,School Year 2016-2017,225,0,1,0.0,0.0,0.9777777777777777,0.0,0.0,0.0,0.013333333333333334,0.8755555555555555,0.008888888888888889,0.0,0.0,0.26222222222222225,0.0,1,1,0,0,0,0,0,0,1,4,1,0,3.580737295494233,60608.0,53353.0
400091,School Year 2016-2017,245,1,0,0.00816326530612245,0.0,0.7714285714285715,0.012244897959183673,0.0,0.0,0.1836734693877551,0.9061224489795918,0.004081632653061225,0.0,0.0,0.24897959183673468,0.0326530612244898,1,1,0,0,0,1,0,1,1,4,0,1,3.417726683613366,60608.0,53353.0
400054,School Year 2016-2017,992,0,1,0.0010080645161290322,0.0,0.03024193548387097,0.12096774193548387,0.0,0.0,0.9526209677419355,0.9435483870967742,0.0020161290322580645,0.005040322580645161,0.0,0.10685483870967742,0.009072580645161291,2,1,1,0,0,0,0,0,1,4,1,1,2.2721258855093374,60639.0,51037.0
