609764,78.6
400054,91.3
609726,90.4
400094,74.3
609755,96.1
609756,78.7
610518,77.3
400077,73.1
400056,78.6
610394,58.4
400058,75.9
609692,85.2
610529,93.9
610340,87.1
609744,0.0
609738,90.9
609746,86.3
609712,40.0
400033,73.3
609691,79.3
609704,62.6
400106,77.7
610245,60.9
609724,78.5
400064,94.5
400055,83.8
400105,83.1
400104,85.0
609698,71.4
610524,81.3
609728,69.7
400066,75.7
400086,78.7
609705,57.7
400051,94.1
609694,86.2
609739,81.4
609761,64.3
609754,89.6
609748,2.3
400057,92.4
609722,43.3
610547,86.5
609713,57.0
610385,82.0
609720,95.5
400034,84.4
610381,75.9
609676,62.5
609733,66.1
610383,77.6
609740,75.7
609759,81.5
400085,89.2
609715,79.2
609734,87.2
400036,60.0
609741,82.9
400052,85.4
610543,82.7
609783,0.8
609730,85.8
609716,65.7
609762,71.3
610389,46.4
609737,91.1
609723,46.1
609732,73.9
609674,76.8
609718,73.8
609709,62.8
400035,85.9
609725,82.6
610334,67.5
610391,89.3
609727,63.0
609708,64.7
610323,61.9
609729,74.3
610513,86.7
610384,91.6
610244,82.1
609749,96.6
609753,83.9
609760,89.9
609693,93.3
400022,84.6
609680,98.5
610392,85.0
609678,98.1
609719,88.2
400087,67.6
610380,87.3
609750,23.1
400053,86.2
400062,80.6
610357,83.6
400098,94.8
610506,75.9
400013,79.2
609679,87.6
610499,61.0
400061,80.3
609751,88.5
609766,20.6
400032,77.8
609768,61.9
400102,57.3
609695,76.0
400091,77.0
609710,57.4
609735,55.2
400059,75.7
609682,59.5
609711,55.9
400097,81.9
610304,92.9
610390,88.3
